Ride,Date/Time,Wait Time
Haunted Mansion,2022-01-23 08:45:22,13
Haunted Mansion,2022-01-23 08:50:22,13
Haunted Mansion,2022-01-23 08:55:23,13
Haunted Mansion,2022-01-23 09:00:23,13
Haunted Mansion,2022-01-23 09:05:23,13
Haunted Mansion,2022-01-23 09:10:22,13
Haunted Mansion,2022-01-23 09:15:22,13
Haunted Mansion,2022-01-23 09:20:22,13
Haunted Mansion,2022-01-23 09:25:22,13
Haunted Mansion,2022-01-23 09:30:23,13
Haunted Mansion,2022-01-23 09:35:22,13
Haunted Mansion,2022-01-23 09:40:22,13
Haunted Mansion,2022-01-23 09:45:22,13
Haunted Mansion,2022-01-23 09:50:22,13
Haunted Mansion,2022-01-23 09:55:23,13
Haunted Mansion,2022-01-23 10:00:38,13
Haunted Mansion,2022-01-23 10:05:22,20
Haunted Mansion,2022-01-23 10:10:23,20
Haunted Mansion,2022-01-23 10:15:23,25
Haunted Mansion,2022-01-23 10:20:23,35
Haunted Mansion,2022-01-23 10:25:22,35
Haunted Mansion,2022-01-23 10:30:23,35
Haunted Mansion,2022-01-23 10:35:23,35
Haunted Mansion,2022-01-23 10:40:22,35
Haunted Mansion,2022-01-23 10:45:23,35
Haunted Mansion,2022-01-23 10:50:22,35
Haunted Mansion,2022-01-23 10:55:23,35
Haunted Mansion,2022-01-23 11:20:22,35
Haunted Mansion,2022-01-23 11:25:23,35
Haunted Mansion,2022-01-23 11:30:22,25
Haunted Mansion,2022-01-23 11:35:23,25
Haunted Mansion,2022-01-23 11:40:22,25
Haunted Mansion,2022-01-23 11:45:23,25
Haunted Mansion,2022-01-23 11:50:22,25
Haunted Mansion,2022-01-23 11:55:22,25
Haunted Mansion,2022-01-23 12:00:23,25
Haunted Mansion,2022-01-23 12:05:23,25
Haunted Mansion,2022-01-23 12:10:22,25
Haunted Mansion,2022-01-23 12:15:22,25
Haunted Mansion,2022-01-23 12:20:22,25
Haunted Mansion,2022-01-23 12:25:22,25
Haunted Mansion,2022-01-23 12:30:23,25
Haunted Mansion,2022-01-23 12:35:22,25
Haunted Mansion,2022-01-23 12:40:23,25
Haunted Mansion,2022-01-23 12:45:23,25
Haunted Mansion,2022-01-23 12:50:23,25
Haunted Mansion,2022-01-23 12:55:23,25
Haunted Mansion,2022-01-23 13:00:23,50
Haunted Mansion,2022-01-23 13:05:23,50
Haunted Mansion,2022-01-23 13:10:22,50
Haunted Mansion,2022-01-23 13:15:22,50
Haunted Mansion,2022-01-23 13:20:23,50
Haunted Mansion,2022-01-23 13:25:23,50
Haunted Mansion,2022-01-23 13:30:23,50
Haunted Mansion,2022-01-23 13:35:22,35
Haunted Mansion,2022-01-23 13:40:22,35
Haunted Mansion,2022-01-23 14:35:22,35
Haunted Mansion,2022-01-23 14:40:23,35
Haunted Mansion,2022-01-23 14:45:23,35
Haunted Mansion,2022-01-23 14:50:22,35
Haunted Mansion,2022-01-23 14:55:22,35
Haunted Mansion,2022-01-23 15:00:23,35
Haunted Mansion,2022-01-23 15:10:22,35
Haunted Mansion,2022-01-23 15:15:22,35
Haunted Mansion,2022-01-23 15:20:22,35
Haunted Mansion,2022-01-23 15:25:22,35
Haunted Mansion,2022-01-23 15:30:22,35
Haunted Mansion,2022-01-23 15:35:22,20
Haunted Mansion,2022-01-23 15:40:22,20
Haunted Mansion,2022-01-23 15:45:22,20
Haunted Mansion,2022-01-23 15:50:22,20
Haunted Mansion,2022-01-23 15:55:23,20
Haunted Mansion,2022-01-23 16:00:23,20
Haunted Mansion,2022-01-23 16:05:23,35
